	JDBC fetch size: 128
	Pool: DataSourceConnectionProvider
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2026-05-08 10:43:49.255 INFO  [restartedMain] org.hibernate.orm.core - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-08 10:43:49.266 INFO  [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-08 10:43:49.342 WARN  [restartedMain] c.e.d.service.LecturaRepository - ===========================================================
2026-05-08 10:43:49.342 WARN  [restartedMain] c.e.d.service.LecturaRepository - DEV MODE: lineabase.acquisition.persist-readings=false
2026-05-08 10:43:49.342 WARN  [restartedMain] c.e.d.service.LecturaRepository - Las lecturas Modbus NO se van a guardar en la BD.
2026-05-08 10:43:49.343 WARN  [restartedMain] c.e.d.service.LecturaRepository - ===========================================================
2026-05-08 10:43:49.464 INFO  [restartedMain] c.e.d.service.LecturaRepository - Cache cargado: 42 maquinas, 10 magnitudes
2026-05-08 10:43:49.543 INFO  [restartedMain] c.e.d.s.PLCDataAcquisitionService - Initializing PLC devices from configuration...
2026-05-08 10:43:49.603 INFO  [restartedMain] c.e.d.s.PLCDataAcquisitionService - Initialized PLC device: PLC1 (192.168.0.5)
2026-05-08 10:43:49.604 INFO  [restartedMain] c.e.d.s.PLCDataAcquisitionService - Initialized PLC device: PLC2 (192.168.0.2)
2026-05-08 10:43:49.604 INFO  [restartedMain] c.e.d.s.PLCDataAcquisitionService - Initialized PLC device: PLC3 (192.168.0.3)
2026-05-08 10:43:49.604 INFO  [restartedMain] c.e.d.s.PLCDataAcquisitionService - Initialized PLC device: GteWay01 (0.0.0.0)
2026-05-08 10:43:49.604 INFO  [restartedMain] c.e.d.s.PLCDataAcquisitionService - Total PLC devices initialized: 4
2026-05-08 10:43:49.607 INFO  [restartedMain] c.e.d.service.DataAcquisitionTask - DataAcquisitionTask initialized - reading cycle every 60 seconds
2026-05-08 10:43:49.790 WARN  [restartedMain] o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-08 10:43:54.887 INFO  [restartedMain] c.v.f.s.DefaultDeploymentConfiguration - 
Vaadin is running in DEVELOPMENT mode - do not use for production deployments.
2026-05-08 10:43:55.093 INFO  [restartedMain] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
